Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,status
116.66875,43.96875,74.66875,-64.33125,-99.93125,18.46875,41.16875,36.96875,39.06875,1.66875,-0.33125,73.06875,96.46875,8.56875,-148.63125,-237.53125,1
114.725,42.825,71.625,-67.075,-102.675,18.525,39.725,35.725,45.625,1.025,0.725,71.125,102.625,14.125,-142.875,-245.775,1
116.38125,43.98125,72.28125,-67.91875,-116.41875,15.88125,39.38125,35.48125,53.68125,0.38125,3.18125,71.08125,104.58125,12.48125,-137.81875,-246.61875,1
118.99375,43.69375,74.09375,-66.90625,-114.00625,14.79375,38.89375,37.09375,47.39375,3.29375,3.49375,71.39375,100.99375,10.99375,-140.50625,-243.70625,1
119.55,43.45,70.35,-66.25,-116.25,12.25,39.95,35.85,42.75,11.25,2.25,72.35,101.85,12.65,-144.45,-237.55,1
119.5125,40.9125,67.7125,-66.5875,-93.9875,12.7125,44.8125,35.5125,42.7125,7.7125,1.9125,70.3125,87.0125,13.6125,-144.2875,-239.5875,1
120.89375,38.39375,68.99375,-65.70625,-118.90625,17.79375,50.99375,39.39375,46.39375,3.09375,3.89375,69.59375,87.29375,19.49375,-138.70625,-242.90625,1
117.35,38.35,66.95,-64.25,-115.85,18.35,42.45,37.65,44.55,2.05,0.45,68.25,107.15,19.75,-142.05,-241.15,1
113.75,41.15,64.55,-60.95,-104.05,23.05,42.95,39.25,41.45,-1.45,-2.65,66.85,103.95,18.15,-145.85,-240.15,1
110.175,44.175,62.475,-57.325,-110.225,26.975,43.475,40.875,38.875,-2.725,-5.725,66.375,100.475,25.975,-148.325,-235.525,1
105.425,45.325,61.825,-55.175,-113.175,27.225,42.725,42.325,40.425,6.425,-9.075,68.525,89.625,24.725,-147.975,-229.175,1
100.8,45.6,59.3,-54.6,-121.7,27.1,47.4,42.3,42.8,19.1,-12.4,70.1,94.6,17.8,-149.8,-228.4,1
99.88125,42.68125,59.08125,-54.71875,-120.81875,29.78125,54.48125,43.98125,40.38125,12.48125,-15.11875,69.18125,94.68125,27.18125,-152.51875,-230.61875,1
103.2125,44.2125,61.5125,-51.6875,-129.5875,33.4125,37.7125,46.3125,40.8125,9.1125,-13.3875,72.0125,92.3125,31.8125,-149.9875,-227.7875,1
104.275,41.775,59.875,-53.025,-122.925,35.975,36.675,45.175,38.475,6.975,-15.325,71.675,99.075,29.975,-153.125,-225.525,1
104.84375,39.94375,56.94375,-53.15625,-129.15625,40.64375,42.74375,46.44375,37.84375,12.64375,-16.55625,73.74375,95.34375,25.04375,-155.75625,-221.55625,1
107.3375,40.8375,56.3375,-54.5625,-128.7625,34.0375,43.8375,43.3375,38.4375,12.5375,-15.8625,77.4375,90.0375,27.9375,-155.1625,-217.7625,1
112.725,43.325,60.425,-55.175,-127.375,26.325,45.425,43.125,38.725,13.625,-14.675,78.725,77.625,35.025,-154.175,-223.675,1
116.0,45.1,63.5,-53.6,-118.3,26.8,47.2,44.1,37.7,6.2,-14.4,77.6,72.4,31.2,-154.1,-227.4,1
114.7625,44.9625,62.6625,-55.1375,-116.6375,26.9625,47.9625,40.0625,33.8625,4.7625,-17.7375,74.2625,104.5625,21.9625,-156.9375,-230.3375,1
114.025,47.225,64.225,-54.675,-107.675,30.425,43.325,41.325,32.325,8.325,-19.475,73.725,101.325,14.225,-160.275,-228.375,1
115.85625,49.35625,67.45625,-54.84375,-125.14375,22.75625,45.15625,44.15625,36.65625,8.35625,-16.94375,76.45625,98.55625,14.05625,-156.64375,-225.24375,1
116.74375,46.14375,71.94375,-56.55625,-123.55625,21.84375,51.24375,44.54375,37.14375,5.84375,-16.25625,74.44375,103.64375,11.84375,-155.45625,-233.55625,1
116.6875,42.3875,75.0875,-57.9125,-120.8125,23.2875,52.4875,43.8875,39.0875,6.5875,-14.3125,73.3875,97.7875,11.1875,-153.5125,-235.3125,1
117.00625,40.20625,75.00625,-58.59375,-93.69375,24.70625,52.00625,45.60625,37.30625,5.10625,-13.49375,72.10625,76.50625,12.00625,-156.29375,-235.49375,1
118.59375,39.79375,75.79375,-58.70625,-125.00625,25.89375,50.09375,45.99375,38.69375,3.99375,-10.70625,72.69375,91.39375,19.59375,-153.90625,-234.20625,1
114.95625,38.15625,69.75625,-62.24375,-139.84375,22.45625,54.55625,42.15625,37.55625,10.25625,-10.14375,75.25625,114.85625,14.15625,-154.44375,-227.44375,1
115.475,35.975,70.375,-64.025,-122.225,19.575,59.775,41.175,39.375,6.075,-7.725,74.775,111.075,4.575,-151.325,-232.925,1
113.7375,31.5375,72.5375,-68.1625,-72.2625,18.9375,45.4375,38.8375,38.8375,-3.1625,-8.3625,69.9375,105.8375,8.4375,-151.2625,-240.8625,1
113.05,30.35,72.55,-68.95,-62.05,19.25,44.05,36.95,34.95,0.95,-8.05,69.75,107.15,8.45,-154.85,-243.55,1
116.21875,35.01875,72.91875,-67.08125,-81.58125,17.01875,54.11875,36.51875,36.11875,-2.68125,-5.38125,70.61875,110.61875,6.41875,-152.68125,-246.18125,1
118.05,40.25,72.75,-64.95,-100.75,18.75,51.55,37.15,38.45,-2.05,-3.05,72.75,112.65,4.35,-149.75,-246.15,1
118.1375,43.1375,75.8375,-63.2625,-104.5625,22.3375,51.1375,37.7375,34.4375,0.3375,-3.7625,73.0375,109.4375,3.9375,-150.9625,-246.9625,1
118.525,40.925,78.425,-63.375,-111.075,16.725,53.125,38.725,36.825,-1.875,-2.075,71.725,111.625,5.725,-146.175,-247.775,1
116.89375,36.69375,75.69375,-61.50625,-102.80625,23.09375,55.79375,41.69375,38.79375,-1.20625,-2.90625,68.09375,107.09375,0.09375,-146.90625,-248.60625,1
117.76875,33.76875,74.46875,-60.13125,-105.63125,19.86875,58.46875,41.26875,38.16875,2.76875,-2.33125,65.76875,111.96875,0.56875,-147.73125,-249.03125,1
